zone_id,emp_diff,hh_diff,emp_diff_pct,hh_diff_pct,emp_multiplier,hh_multiplier
666,44,-459,0.192982456,-2.013157895,1,1
667,571,70,2.349794239,0.288065844,1,1
668,13,129,0.028446389,0.282275711,1,1
669,-1099,-1034,-0.720183486,-0.677588467,1,1
670,-2379,-178,-0.973404255,-0.072831424,1,1
671,-2855,144,-0.949135638,0.04787234,1,1
672,-158,1054,-0.508038585,3.389067524,1,1
673,-829,186,-0.886631016,0.198930481,1,1
674,-224,110,-0.316831683,0.155586987,1,1
675,-221,167,-0.425818882,0.32177264,1,1
676,-628,-101,-0.381067961,-0.061286408,1,1
677,-1763,-75,-0.899489796,-0.038265306,1,1
678,204,-4,5.828571429,-0.114285714,1,1
679,247,107,0.346423562,0.150070126,1,1
680,-140,-235,-0.372340426,-0.625,1,1
681,-942,-1040,-0.779156328,-0.860215054,1,1
682,-408,4,-0.796875,0.0078125,1,1
683,-78,-422,-0.143911439,-0.778597786,1,1
684,233,317,77.66666667,105.6666667,1,1
685,30,141,0.13215859,0.621145374,1,1
686,-338,1348,-0.602495544,2.40285205,1,1
687,-34,1836,-0.326923077,17.65384615,1,1
688,1296,294,61.71428571,14,1,1
689,483,95,0.712389381,0.140117994,1,1
690,4309,626,59.84722222,8.694444444,1,1
691,2131,-189,163.9230769,-14.53846154,1,1
692,1058,-1143,0.633912522,-0.684841222,1,1
693,118,768,0.140643623,0.915375447,1,1
694,1408,20,469.3333333,6.666666667,1,1
695,498,2978,5.29787234,31.68085106,1,1
696,4338,78,4338,78,1,1
697,6832,344,3416,172,1,1
698,1536,266,#DIV/0!,1,1,1
699,3326,3,55.43333333,0.05,1,1
700,958,351,3.713178295,1.360465116,1,1
701,-971,-414,-0.579010137,-0.24686941,1,1
702,-568,-41,-0.660465116,-0.047674419,1,1
703,-520,453,-0.413026211,0.359809373,1,1
704,2191,78,42.96078431,1.529411765,1,1
705,838,1419,2.295890411,3.887671233,1,1
706,-654,27,-0.807407407,0.033333333,1,1
707,-368,96,-0.717348928,0.187134503,1,1
708,-142,-157,-0.965986395,-1.068027211,1,1
709,12,-8,#DIV/0!,1,1,1
710,-364,-13,-0.467866324,-0.016709512,1,1
711,-94,286,-0.291021672,0.885448916,1,1
712,1596,-33,1.63357216,-0.033776868,1,1
713,-482,-42,-0.921606119,-0.080305927,1,1
714,-3184,-522,-0.812452156,-0.133197244,1,1
715,-227,-315,-0.248358862,-0.34463895,1,1
716,-2250,-489,-0.859434683,-0.186783804,1,1
717,-623,-40,-0.734669811,-0.047169811,1,1
718,-3408,-450,-0.930131004,-0.122816594,1,1
719,-214,-20,-0.995348837,-0.093023256,1,1
720,-91,9,-0.348659004,0.034482759,1,1
721,0,-29,0,-4.833333333,1,1
722,6,37,0.176470588,1.088235294,1,1
723,-200,-136,-0.483091787,-0.328502415,1,1
724,-612,-424,-0.793774319,-0.549935149,1,1
725,-58,292,-0.162464986,0.817927171,1,1
726,-38,1893,-0.159663866,7.953781513,1,1
727,93,-4,#DIV/0!,1,1,1
728,-32,-11,-1,-0.34375,1,1
729,-157,-29,-0.73364486,-0.135514019,1,1
730,-32,-200,-0.089385475,-0.558659218,1,1
731,-908,-745,-0.693129771,-0.56870229,1,1
732,-28,225,-0.123348018,0.991189427,1,1
733,-895,-65,-0.696498054,-0.050583658,1,1
734,1503,1279,23.85714286,20.3015873,1,1
735,2268,12,32.4,0.171428571,1,1
736,117,-27,6.882352941,-1.588235294,1,1
737,99,-8,#DIV/0!,1,1,1
738,-904,-18,-0.743421053,-0.014802632,1,1
739,-1785,-825,-0.825242718,-0.381414702,1,1
740,243,-1012,0.275822928,-1.148694665,1,1
741,-284,-76,-0.697788698,-0.186732187,1,1
742,29,-14,0.252173913,-0.12173913,1,1
743,214,-149,0.951111111,-0.662222222,1,1
744,-1767,-823,-0.7168357,-0.333874239,1,1
745,-726,-112,-0.532258065,-0.082111437,1,1
746,-308,-1542,-0.180539273,-0.903868699,1,1
747,477,-436,1.962962963,-1.794238683,1,1
