year,sector_id_six,home_based_status,county_id,total_number_of_jobs
2026,2,1,8013,103
2026,3,1,8013,1385
2026,4,1,8013,10
2026,5,1,8013,376
2026,6,1,8013,3342
2026,1,1,8014,10
2026,2,1,8014,10
2026,3,1,8014,221
2026,4,1,8014,0
2026,5,1,8014,45
2026,6,1,8014,383
2026,1,1,8019,1
2026,2,1,8019,1
2026,3,1,8019,47
2026,4,1,8019,1
2026,5,1,8019,9
2026,6,1,8019,67
2026,1,1,8031,122
2026,2,1,8031,208
2026,3,1,8031,2605
2026,4,1,8031,30
2026,5,1,8031,487
2026,6,1,8031,5814
2026,1,1,8035,82
2026,2,1,8035,122
2026,3,1,8035,2033
2026,4,1,8035,5
2026,5,1,8035,379
2026,6,1,8035,3651
2026,1,1,8039,4
2026,2,1,8039,10
2026,3,1,8039,194
2026,4,1,8039,0
2026,5,1,8039,17
2026,6,1,8039,197
2026,1,1,8047,0
2026,2,1,8047,0
2026,3,1,8047,15
2026,4,1,8047,0
2026,5,1,8047,3
2026,6,1,8047,12
2026,1,1,8059,113
2026,2,1,8059,141
2026,3,1,8059,3077
2026,4,1,8059,11
2026,5,1,8059,599
2026,6,1,8059,5142
2026,1,1,8123,3
2026,2,1,8123,9
2026,3,1,8123,331
2026,4,1,8123,0
2026,5,1,8123,37
2026,6,1,8123,322
2027,1,1,8001,241
2027,2,1,8001,361
2027,3,1,8001,7228
2027,4,1,8001,36
2027,5,1,8001,1030
2027,6,1,8001,5444
2027,1,1,8005,96
2027,2,1,8005,160
2027,3,1,8005,2947
2027,4,1,8005,20
2027,5,1,8005,638
2027,6,1,8005,10980
2027,1,1,8013,90
2027,2,1,8013,103
2027,3,1,8013,1381
2027,4,1,8013,10
2027,5,1,8013,374
2027,6,1,8013,3326
2027,1,1,8014,10
2027,2,1,8014,10
2027,3,1,8014,221
2027,4,1,8014,0
2027,5,1,8014,44
2027,6,1,8014,382
2027,1,1,8019,1
2027,2,1,8019,1
2027,3,1,8019,47
2027,4,1,8019,1
2027,5,1,8019,8
2027,6,1,8019,67
2027,1,1,8031,123
2027,2,1,8031,208
2027,3,1,8031,2638
2027,4,1,8031,29
2027,5,1,8031,491
2027,6,1,8031,5856
2027,1,1,8035,82
2027,2,1,8035,121
2027,3,1,8035,2033
2027,4,1,8035,5
2027,5,1,8035,383
2027,6,1,8035,3657
2027,1,1,8039,4
2027,2,1,8039,10
2027,3,1,8039,198
2027,4,1,8039,0
2027,5,1,8039,17
2027,6,1,8039,202
2027,1,1,8047,0
2027,2,1,8047,0
2027,3,1,8047,15
2027,4,1,8047,0
2027,5,1,8047,3
